"study","group","condition","SID","survey_name","item","value"
"study1_pilot2","autonomous","autonomous","s064","msg_rel_self","msg_rel_self_06","7"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_self","msg_rel_self_06","6"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_self","msg_rel_self_06","4"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_self","msg_rel_self_06","5"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_self","msg_rel_self_06","7"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_self","msg_rel_self_07","6"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_self","msg_rel_self_07","6"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","autonomous","autonomous","s166","msg_rel_self","msg_rel_self_07","5"
"study1_pilot2","autonomous","autonomous","s190","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","autonomous","autonomous","s208","msg_rel_self","msg_rel_self_07","7"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_self","msg_rel_self_08","6"
"study1_pilot2","autonomous","autonomous","s093","msg_rel_self","msg_rel_self_08","4"
"study1_pilot2","autonomous","autonomous","s098","msg_rel_self","msg_rel_self_08","6"
"study1_pilot2","autonomous","autonomous","s100","msg_rel_self","msg_rel_self_08","6"
"study1_pilot2","autonomous","autonomous","s108","msg_rel_self","msg_rel_self_08","5"
"study1_pilot2","autonomous","autonomous","s143","msg_rel_self","msg_rel_self_08","4"
"study1_pilot2","autonomous","autonomous","s153","msg_rel_self","msg_rel_self_08","7"
"study1_pilot2","autonomous","autonomous","s155","msg_rel_self","msg_rel_self_08","5"
"study1_pilot2","autonomous","autonomous","s203","msg_rel_self","msg_rel_self_08","6"
"study1_pilot2","autonomous","autonomous","s054","msg_rel_self","msg_rel_self_09","4"
"study1_pilot2","autonomous","autonomous","s068","msg_rel_self","msg_rel_self_09","3"
"study1_pilot2","autonomous","autonomous","s134","msg_rel_self","msg_rel_self_09","6"
