"survey_name","group","SID","scale_name","item","value"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_self","1","100"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_social","1","100"
"GOTV 100 million message testing SHORT","control","s001","msg_share","1","5"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_self","2","100"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_social","2","100"
"GOTV 100 million message testing SHORT","control","s001","msg_share","2","31"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_self","3","100"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_social","3","100"
"GOTV 100 million message testing SHORT","control","s001","msg_share","3","45"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_self","4","100"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_social","4","100"
"GOTV 100 million message testing SHORT","control","s001","msg_share","4","25"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_self","5","100"
"GOTV 100 million message testing SHORT","control","s001","msg_rel_social","5","100"
"GOTV 100 million message testing SHORT","control","s001","msg_share","5","57"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_self","1","67"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_social","1","86"
"GOTV 100 million message testing SHORT","static","s002","msg_share","1","80"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_self","2","14"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_social","2","32"
"GOTV 100 million message testing SHORT","static","s002","msg_share","2","29"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_self","3","39"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_social","3","36"
"GOTV 100 million message testing SHORT","static","s002","msg_share","3","23"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_self","4","60"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_social","4","76"
"GOTV 100 million message testing SHORT","static","s002","msg_share","4","35"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_self","5","75"
"GOTV 100 million message testing SHORT","static","s002","msg_rel_social","5","88"
"GOTV 100 million message testing SHORT","static","s002","msg_share","5","72"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_self","1","55"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_social","1","29"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_share","1","28"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_self","2","29"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_social","2","91"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_share","2","50"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_self","3","64"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_social","3","49"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_share","3","39"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_self","4","51"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_social","4","28"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_share","4","21"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_self","5","40"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_rel_social","5","18"
"GOTV 100 million message testing SHORT","dynamic","s003","msg_share","5","42"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_self","1","0"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_social","1","81"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_share","1","0"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_self","2","76"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_social","2","76"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_share","2","0"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_self","3","0"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_social","3","71"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_share","3","0"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_self","4","51"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_social","4","80"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_share","4","0"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_self","5","100"
"GOTV 100 million message testing SHORT","dynamic","s004","msg_rel_social","5","100"
