"study","group","SID","item","content","trial","sharing_type","msg_share","msg_rel_self","msg_rel_social","msg_rel_self_between","msg_rel_social_between","msg_rel_self_within","msg_rel_social_within"
"study 3","control","study 3_s002","study 3_control_1","voting",1,0,100,81,82,0.818217172469748,0.633815809165098,-0.345191585236377,-0.325276748806389
"study 3","control","study 3_s002","study 3_control_2","voting",2,0,100,93,94,0.818217172469748,0.633815809165098,0.368997901459575,0.487915123209585
"study 3","control","study 3_s002","study 3_control_3","voting",3,0,100,86,82,0.818217172469748,0.633815809165098,-0.0476126324463966,-0.325276748806389
"study 3","control","study 3_s002","study 3_control_4","voting",4,0,100,93,93,0.818217172469748,0.633815809165098,0.368997901459575,0.42014913387492
"study 3","control","study 3_s002","study 3_control_5","voting",5,0,100,81,83,0.818217172469748,0.633815809165098,-0.345191585236377,-0.257510759471725
"study 3","control","study 3_s005","study 3_control_1","voting",1,0,41,22,20,-0.468153039544142,-1.09791916232351,-2.22589056686905,-2.65642678191885
"study 3","control","study 3_s005","study 3_control_2","voting",2,0,64,68,70,-0.468153039544142,-1.09791916232351,0.511835798798766,0.731872684814377
"study 3","control","study 3_s005","study 3_control_3","voting",3,0,98,82,80,-0.468153039544142,-1.09791916232351,1.34505686661071,1.40953257816102
"study 3","control","study 3_s005","study 3_control_4","voting",4,0,19,49,49,-0.468153039544142,-1.09791916232351,-0.618964221803158,-0.691213091213578
"study 3","control","study 3_s005","study 3_control_5","voting",5,0,96,76,77,-0.468153039544142,-1.09791916232351,0.987962123262734,1.20623461015703
"study 3","control","study 3_s007","study 3_control_1","voting",1,0,84,79,100,1.00600844429659,1.19851199552008,-0.702286328584353,0.284617155205591
"study 3","control","study 3_s007","study 3_control_2","voting",2,0,100,100,100,1.00600844429659,1.19851199552008,0.547545273133563,0.284617155205591
"study 3","control","study 3_s007","study 3_control_3","voting",3,0,100,87,100,1.00600844429659,1.19851199552008,-0.226160004120385,0.284617155205591
"study 3","control","study 3_s007","study 3_control_4","voting",4,0,100,88,92,1.00600844429659,1.19851199552008,-0.166644213562389,-0.257510759471725
"study 3","control","study 3_s007","study 3_control_5","voting",5,0,100,100,87,1.00600844429659,1.19851199552008,0.547545273133563,-0.596340706145048
"study 3","control","study 3_s008","study 3_control_1","voting",1,0,81,100,90,1.01539800788794,1.0981215623903,0.535642115021964,-0.284617155205591
"study 3","control","study 3_s008","study 3_control_2","voting",2,0,79,100,100,1.01539800788794,1.0981215623903,0.535642115021964,0.393042738141054
"study 3","control","study 3_s008","study 3_control_3","voting",3,0,69,82,100,1.01539800788794,1.0981215623903,-0.535642115021964,0.393042738141054
"study 3","control","study 3_s008","study 3_control_4","voting",4,0,20,73,81,1.01539800788794,1.0981215623903,-1.07128423004393,-0.894511059217572
"study 3","control","study 3_s008","study 3_control_5","voting",5,0,81,100,100,1.01539800788794,1.0981215623903,0.535642115021964,0.393042738141054
"study 3","control","study 3_s010","study 3_control_1","voting",1,0,78,100,100,1.35342229717626,1.34909764521474,0.107128423004393,0.121978780802396
"study 3","control","study 3_s010","study 3_control_2","voting",2,0,60,100,100,1.35342229717626,1.34909764521474,0.107128423004393,0.121978780802396
"study 3","control","study 3_s010","study 3_control_3","voting",3,0,84,100,100,1.35342229717626,1.34909764521474,0.107128423004393,0.121978780802396
"study 3","control","study 3_s010","study 3_control_4","voting",4,0,89,91,91,1.35342229717626,1.34909764521474,-0.428513692017571,-0.487915123209585
"study 3","control","study 3_s010","study 3_control_5","voting",5,0,79,100,100,1.35342229717626,1.34909764521474,0.107128423004393,0.121978780802396
"study 3","control","study 3_s012","study 3_control_1","voting",1,0,66,100,100,1.43792836949834,1.46203688248574,0,0
"study 3","control","study 3_s012","study 3_control_2","voting",2,0,72,100,100,1.43792836949834,1.46203688248574,0,0
"study 3","control","study 3_s012","study 3_control_3","voting",3,0,81,100,100,1.43792836949834,1.46203688248574,0,0
