"group","SID","item","survey_name","value"
"experimental","s001","msg_rel_self_1","msg_rel_self","74"
"experimental","s003","msg_rel_self_1","msg_rel_self","88"
"experimental","s004","msg_rel_self_1","msg_rel_self","78"
"experimental","s006","msg_rel_self_1","msg_rel_self","20"
"experimental","s009","msg_rel_self_1","msg_rel_self","78"
"experimental","s011","msg_rel_self_1","msg_rel_self","100"
"experimental","s013","msg_rel_self_1","msg_rel_self","81"
"experimental","s015","msg_rel_self_1","msg_rel_self","29"
"experimental","s016","msg_rel_self_1","msg_rel_self","89"
"experimental","s018","msg_rel_self_1","msg_rel_self","79"
"experimental","s020","msg_rel_self_1","msg_rel_self","100"
"experimental","s022","msg_rel_self_1","msg_rel_self","64"
"experimental","s025","msg_rel_self_1","msg_rel_self","66"
"experimental","s027","msg_rel_self_1","msg_rel_self","100"
"experimental","s028","msg_rel_self_1","msg_rel_self","100"
"experimental","s030","msg_rel_self_1","msg_rel_self","72"
"experimental","s033","msg_rel_self_1","msg_rel_self","0"
"experimental","s035","msg_rel_self_1","msg_rel_self","67"
"experimental","s037","msg_rel_self_1","msg_rel_self","87"
"experimental","s039","msg_rel_self_1","msg_rel_self","100"
"experimental","s041","msg_rel_self_1","msg_rel_self","85"
"experimental","s042","msg_rel_self_1","msg_rel_self","100"
"experimental","s044","msg_rel_self_1","msg_rel_self","81"
"experimental","s046","msg_rel_self_1","msg_rel_self","91"
"experimental","s049","msg_rel_self_1","msg_rel_self","73"
"experimental","s051","msg_rel_self_1","msg_rel_self","98"
"experimental","s053","msg_rel_self_1","msg_rel_self","99"
"experimental","s055","msg_rel_self_1","msg_rel_self","78"
"experimental","s057","msg_rel_self_1","msg_rel_self","75"
"experimental","s058","msg_rel_self_1","msg_rel_self","65"
"experimental","s061","msg_rel_self_1","msg_rel_self","80"
"experimental","s062","msg_rel_self_1","msg_rel_self","72"
"experimental","s064","msg_rel_self_1","msg_rel_self","71"
"experimental","s066","msg_rel_self_1","msg_rel_self","100"
"experimental","s068","msg_rel_self_1","msg_rel_self","54"
"experimental","s072","msg_rel_self_1","msg_rel_self","83"
"experimental","s073","msg_rel_self_1","msg_rel_self","64"
"experimental","s074","msg_rel_self_1","msg_rel_self","61"
