"ResponseId","item","scale_name","value"
"R_2WOO3Cy0WzELc48","1","msg_rel_self","0"
"R_2b1YaXGwhANoapa","1","msg_rel_self","5.7"
"R_BXpLHr47yRhAgs9","1","msg_rel_self","8.3"
"R_3Hh5jHoTdwDBOWp","1","msg_rel_self","3.8"
"R_2WOO3Cy0WzELc48","1","msg_rel_social","4.6"
"R_2b1YaXGwhANoapa","1","msg_rel_social","5.5"
"R_BXpLHr47yRhAgs9","1","msg_rel_social","8.4"
"R_3Hh5jHoTdwDBOWp","1","msg_rel_social","4.7"
"R_2WOO3Cy0WzELc48","1","msg_share","0"
"R_2b1YaXGwhANoapa","1","msg_share","5.6"
"R_BXpLHr47yRhAgs9","1","msg_share","10"
"R_3Hh5jHoTdwDBOWp","1","msg_share","0.5"
"R_1P1uOCKQDVjx0Sp","2","msg_rel_self","1"
"R_2wjbcllviPLOPGK","2","msg_rel_self","0"
"R_2b1YaXGwhANoapa","2","msg_rel_self","10"
"R_1P1uOCKQDVjx0Sp","2","msg_rel_social","8.8"
"R_2wjbcllviPLOPGK","2","msg_rel_social","4.7"
"R_2b1YaXGwhANoapa","2","msg_rel_social","8.4"
"R_1P1uOCKQDVjx0Sp","2","msg_share","0.9"
"R_2wjbcllviPLOPGK","2","msg_share","0"
"R_2b1YaXGwhANoapa","2","msg_share","10"
"R_2f0pGoCf2AiLN7B","3","msg_rel_self","1.8"
"R_30qPGw6tWsJdEI7","3","msg_rel_self","1.6"
"R_2f0pGoCf2AiLN7B","3","msg_rel_social","7.5"
"R_30qPGw6tWsJdEI7","3","msg_rel_social","2.8"
"R_2f0pGoCf2AiLN7B","3","msg_share","0"
"R_30qPGw6tWsJdEI7","3","msg_share","0"
"R_12QDFjKTL2B6vyR","4","msg_rel_self","0.1"
"R_1P1uOCKQDVjx0Sp","4","msg_rel_self","3.2"
"R_12QDFjKTL2B6vyR","4","msg_rel_social","6.7"
"R_1P1uOCKQDVjx0Sp","4","msg_rel_social","5.6"
"R_12QDFjKTL2B6vyR","4","msg_share","0"
"R_1P1uOCKQDVjx0Sp","4","msg_share","0"
"R_1TwJi8euFt64rgR","5","msg_rel_self","1.9"
"R_1P1uOCKQDVjx0Sp","5","msg_rel_self","0"
"R_u9pCwS3EukTIE2R","5","msg_rel_self","2.3"
"R_3Hh5jHoTdwDBOWp","5","msg_rel_self","6"
"R_6ldUJP0NxvlTWoN","5","msg_rel_self","6.9"
"R_2xFrj0K4tUP8LJH","5","msg_rel_self","0.6"
"R_1TwJi8euFt64rgR","5","msg_rel_social","5"
"R_1P1uOCKQDVjx0Sp","5","msg_rel_social","7.5"
"R_u9pCwS3EukTIE2R","5","msg_rel_social","2.3"
"R_3Hh5jHoTdwDBOWp","5","msg_rel_social","7"
"R_6ldUJP0NxvlTWoN","5","msg_rel_social","7.5"
"R_2xFrj0K4tUP8LJH","5","msg_rel_social","5.5"
"R_1TwJi8euFt64rgR","5","msg_share","0"
"R_1P1uOCKQDVjx0Sp","5","msg_share","0"
"R_u9pCwS3EukTIE2R","5","msg_share","0"
"R_3Hh5jHoTdwDBOWp","5","msg_share","4.1"
"R_6ldUJP0NxvlTWoN","5","msg_share","6.5"
"R_2xFrj0K4tUP8LJH","5","msg_share","0"
"R_4P0hv2yZsiducBr","6","msg_rel_self","2.5"
"R_vif9GNKvLL4rqG5","6","msg_rel_self","0"
