"study","group","SID","item","article_cond","content","trial","sharing_type","msg_share","msg_rel_self","msg_rel_social","msg_rel_self_between","msg_rel_social_between","msg_rel_self_within","msg_rel_social_within"
"study 6","self","study 6_s001","health_8","control","health",1,0,80,91,90,-0.296203903339751,-0.291342918305409,1.64166510583198,1.53476212546203
"study 6","self","study 6_s001","health_6","self","health",10,0,95,96,95,-0.296203903339751,-0.291342918305409,1.84687324406098,1.76659930453485
"study 6","self","study 6_s001","health_4","self","health",2,0,88,96,97,-0.296203903339751,-0.291342918305409,1.84687324406098,1.85933417616398
"study 6","self","study 6_s001","climate_3","self","climate",3,0,34,13,14,-0.296203903339751,-0.291342918305409,-1.55958185054038,-1.98916299644475
"study 6","self","study 6_s001","health_0","control","health",4,0,14,16,15,-0.296203903339751,-0.291342918305409,-1.43645696760298,-1.94279556063019
"study 6","self","study 6_s001","climate_9","self","climate",5,0,63,75,75,-0.296203903339751,-0.291342918305409,0.984999063499189,0.83925058824359
"study 6","self","study 6_s001","climate_5","control","climate",6,0,3,0,0,-0.296203903339751,-0.291342918305409,-2.09312300993578,-2.63830709784863
"study 6","self","study 6_s001","climate_1","self","climate",7,0,93,92,79,-0.296203903339751,-0.291342918305409,1.68270673347778,1.02472033150184
"study 6","self","study 6_s001","health_2","control","health",8,0,50,0,73,-0.296203903339751,-0.291342918305409,-2.09312300993578,0.746515716614464
"study 6","self","study 6_s001","climate_7","control","climate",9,0,93,31,31,-0.296203903339751,-0.291342918305409,-0.820832552915991,-1.20091658759718
"study 6","self","study 6_s002","health_62","control","health",1,0,44,37,45,-0.168395770343261,-0.315940582923513,-0.685395181684853,-0.528588768286018
"study 6","self","study 6_s002","climate_61","self","climate",10,0,69,80,78,-0.168395770343261,-0.315940582923513,1.07939480708453,1.00153661359456
"study 6","self","study 6_s002","climate_69","control","climate",2,0,67,53,55,-0.168395770343261,-0.315940582923513,-0.0287291393520598,-0.0649144101403881
"study 6","self","study 6_s002","climate_63","self","climate",3,0,57,30,28,-0.168395770343261,-0.315940582923513,-0.97268657520545,-1.31683517713359
"study 6","self","study 6_s002","health_64","self","health",4,0,55,67,67,-0.168395770343261,-0.315940582923513,0.545853647689134,0.491494819634368
"study 6","self","study 6_s002","health_60","control","health",5,0,73,63,70,-0.168395770343261,-0.315940582923513,0.381687137105936,0.630597127078057
"study 6","self","study 6_s002","health_66","control","health",6,0,76,68,62,-0.168395770343261,-0.315940582923513,0.586895275334934,0.259657640561553
"study 6","self","study 6_s002","climate_65","self","climate",7,0,30,3,4,-0.168395770343261,-0.315940582923513,-2.08081052164204,-2.4296536366831
"study 6","self","study 6_s002","climate_67","self","climate",8,0,79,64,72,-0.168395770343261,-0.315940582923513,0.422728764751735,0.723331998707183
