"cond","SID","survey_name","item","value"
"self","s001","sharing_broad","1_sharing_broad","80"
"self","s002","sharing_broad","1_sharing_broad","44"
"other","s003","sharing_broad","1_sharing_broad","11"
"other","s004","sharing_broad","1_sharing_broad","3"
"other","s005","sharing_broad","1_sharing_broad","94"
"other","s008","sharing_broad","1_sharing_broad","15"
"self","s009","sharing_broad","1_sharing_broad","78"
"other","s010","sharing_broad","1_sharing_broad","0"
"other","s012","sharing_broad","1_sharing_broad","9"
"self","s014","sharing_broad","1_sharing_broad","17"
"other","s015","sharing_broad","1_sharing_broad","88"
"other","s017","sharing_broad","1_sharing_broad","85"
"other","s018","sharing_broad","1_sharing_broad","81"
"self","s019","sharing_broad","1_sharing_broad","10"
"self","s020","sharing_broad","1_sharing_broad","23"
"self","s021","sharing_broad","1_sharing_broad","0"
"other","s024","sharing_broad","1_sharing_broad","11"
"other","s025","sharing_broad","1_sharing_broad","80"
"other","s028","sharing_broad","1_sharing_broad","85"
"self","s030","sharing_broad","1_sharing_broad","58"
"other","s031","sharing_broad","1_sharing_broad","84"
"self","s032","sharing_broad","1_sharing_broad","5"
"self","s036","sharing_broad","1_sharing_broad","8"
"other","s037","sharing_broad","1_sharing_broad","83"
"other","s038","sharing_broad","1_sharing_broad","0"
"self","s040","sharing_broad","1_sharing_broad","79"
"other","s041","sharing_broad","1_sharing_broad","96"
"other","s042","sharing_broad","1_sharing_broad","91"
"self","s043","sharing_broad","1_sharing_broad","5"
"other","s045","sharing_broad","1_sharing_broad","0"
"self","s046","sharing_broad","1_sharing_broad","93"
"self","s048","sharing_broad","1_sharing_broad","63"
"other","s049","sharing_broad","1_sharing_broad","71"
"self","s051","sharing_broad","1_sharing_broad","61"
"self","s052","sharing_broad","1_sharing_broad","51"
"other","s053","sharing_broad","1_sharing_broad","69"
"self","s054","sharing_broad","1_sharing_broad","20"
"other","s055","sharing_broad","1_sharing_broad","1"
"self","s056","sharing_broad","1_sharing_broad","59"
"self","s057","sharing_broad","1_sharing_broad","100"
"self","s058","sharing_broad","1_sharing_broad","31"
"other","s062","sharing_broad","1_sharing_broad","0"
"self","s063","sharing_broad","1_sharing_broad","0"
"self","s064","sharing_broad","1_sharing_broad","2"
"other","s065","sharing_broad","1_sharing_broad","81"
"other","s066","sharing_broad","1_sharing_broad","74"
"self","s067","sharing_broad","1_sharing_broad","4"
"other","s068","sharing_broad","1_sharing_broad","1"
"self","s069","sharing_broad","1_sharing_broad","0"
"self","s070","sharing_broad","1_sharing_broad","83"
"other","s072","sharing_broad","1_sharing_broad","64"
"other","s073","sharing_broad","1_sharing_broad","10"
"other","s074","sharing_broad","1_sharing_broad","67"
"other","s075","sharing_broad","1_sharing_broad","73"
"self","s076","sharing_broad","1_sharing_broad","65"
"other","s078","sharing_broad","1_sharing_broad","51"
"other","s079","sharing_broad","1_sharing_broad","83"
"self","s080","sharing_broad","1_sharing_broad","12"
"other","s081","sharing_broad","1_sharing_broad","1"
"self","s082","sharing_broad","1_sharing_broad","0"
"other","s083","sharing_broad","1_sharing_broad","59"
"self","s084","sharing_broad","1_sharing_broad","0"
"other","s085","sharing_broad","1_sharing_broad","3"
"self","s086","sharing_broad","1_sharing_broad","0"
"self","s089","sharing_broad","1_sharing_broad","7"
"other","s090","sharing_broad","1_sharing_broad","77"
"other","s092","sharing_broad","1_sharing_broad","51"
"self","s093","sharing_broad","1_sharing_broad","25"
"self","s095","sharing_broad","1_sharing_broad","0"
"other","s097","sharing_broad","1_sharing_broad","93"
"other","s099","sharing_broad","1_sharing_broad","0"
"other","s100","sharing_broad","1_sharing_broad","78"
"self","s101","sharing_broad","1_sharing_broad","16"
"other","s103","sharing_broad","1_sharing_broad","0"
"self","s104","sharing_broad","1_sharing_broad","53"
"self","s106","sharing_broad","1_sharing_broad","0"
"other","s108","sharing_broad","1_sharing_broad","8"
"other","s110","sharing_broad","1_sharing_broad","86"
"self","s111","sharing_broad","1_sharing_broad","0"
"self","s112","sharing_broad","1_sharing_broad","16"
"self","s113","sharing_broad","1_sharing_broad","2"
"other","s114","sharing_broad","1_sharing_broad","18"
"other","s115","sharing_broad","1_sharing_broad","2"
"other","s116","sharing_broad","1_sharing_broad","71"
"other","s117","sharing_broad","1_sharing_broad","70"
"self","s118","sharing_broad","1_sharing_broad","17"
"self","s119","sharing_broad","1_sharing_broad","0"
"other","s120","sharing_broad","1_sharing_broad","1"
"self","s121","sharing_broad","1_sharing_broad","63"
"other","s122","sharing_broad","1_sharing_broad","73"
"other","s123","sharing_broad","1_sharing_broad","74"
"self","s124","sharing_broad","1_sharing_broad","88"
"other","s125","sharing_broad","1_sharing_broad","0"
"other","s126","sharing_broad","1_sharing_broad","66"
"self","s127","sharing_broad","1_sharing_broad","74"
"self","s130","sharing_broad","1_sharing_broad","13"
"self","s132","sharing_broad","1_sharing_broad","0"
"other","s133","sharing_broad","1_sharing_broad","51"
"other","s134","sharing_broad","1_sharing_broad","65"
"other","s136","sharing_broad","1_sharing_broad","0"
"other","s137","sharing_broad","1_sharing_broad","100"
"other","s139","sharing_broad","1_sharing_broad","74"
"other","s140","sharing_broad","1_sharing_broad","0"
"self","s141","sharing_broad","1_sharing_broad","41"
"self","s143","sharing_broad","1_sharing_broad","36"
"self","s145","sharing_broad","1_sharing_broad","8"
"self","s146","sharing_broad","1_sharing_broad","29"
"self","s147","sharing_broad","1_sharing_broad","53"
"self","s149","sharing_broad","1_sharing_broad","87"
"other","s150","sharing_broad","1_sharing_broad","1"
"self","s151","sharing_broad","1_sharing_broad","100"
"other","s153","sharing_broad","1_sharing_broad","0"
"self","s155","sharing_broad","1_sharing_broad","77"
"other","s156","sharing_broad","1_sharing_broad","100"
"self","s157","sharing_broad","1_sharing_broad","82"
"other","s159","sharing_broad","1_sharing_broad","90"
"self","s160","sharing_broad","1_sharing_broad","44"
"self","s161","sharing_broad","1_sharing_broad","100"
"other","s163","sharing_broad","1_sharing_broad","100"
"other","s166","sharing_broad","1_sharing_broad","99"
"self","s167","sharing_broad","1_sharing_broad","0"
"self","s168","sharing_broad","1_sharing_broad","34"
"other","s170","sharing_broad","1_sharing_broad","80"
"self","s172","sharing_broad","1_sharing_broad","50"
"other","s177","sharing_broad","1_sharing_broad","27"
"self","s178","sharing_broad","1_sharing_broad","0"
"self","s184","sharing_broad","1_sharing_broad","37"
"other","s185","sharing_broad","1_sharing_broad","0"
"self","s186","sharing_broad","1_sharing_broad","11"
"self","s187","sharing_broad","1_sharing_broad","0"
"other","s189","sharing_broad","1_sharing_broad","0"
"other","s191","sharing_broad","1_sharing_broad","100"
"self","s192","sharing_broad","1_sharing_broad","63"
"self","s193","sharing_broad","1_sharing_broad","100"
"self","s194","sharing_broad","1_sharing_broad","1"
"self","s195","sharing_broad","1_sharing_broad","0"
"self","s196","sharing_broad","1_sharing_broad","56"
"other","s197","sharing_broad","1_sharing_broad","2"
"self","s198","sharing_broad","1_sharing_broad","79"
"self","s200","sharing_broad","1_sharing_broad","89"
"other","s201","sharing_broad","1_sharing_broad","28"
"self","s202","sharing_broad","1_sharing_broad","77"
"other","s204","sharing_broad","1_sharing_broad","10"
"other","s205","sharing_broad","1_sharing_broad","0"
"other","s206","sharing_broad","1_sharing_broad","77"
"self","s207","sharing_broad","1_sharing_broad","0"
"self","s208","sharing_broad","1_sharing_broad","76"
"other","s210","sharing_broad","1_sharing_broad","26"
"self","s211","sharing_broad","1_sharing_broad","0"
"self","s212","sharing_broad","1_sharing_broad","26"
"other","s214","sharing_broad","1_sharing_broad","83"
"other","s215","sharing_broad","1_sharing_broad","77"
"other","s216","sharing_broad","1_sharing_broad","4"
"self","s217","sharing_broad","1_sharing_broad","0"
"other","s218","sharing_broad","1_sharing_broad","57"
