main_headline,snippet,quintile,set
How to Have a Successful Virtual Happy Hour,"The coronavirus has turned drinks at the bar into drinks in our individual homes, but that doesn’t mean you have to drink alone.",1,0
Why Not Get Your Own Wind Turbine? Many Reasons,"Also this week: Our reporter catches drones while on assignment, and Ban Ki-moon says America needs to change its tune on climate.",1,0
"A Guide to Pandemic Scams, and What Not to Fall For",Fraudsters see opportunities to target us in these uncertain times. Here are their most popular schemes and how we can protect ourselves.,2,0
Court Dismisses Exxon’s Effort to Block Climate Investigation,A federal judge in New York called a lawsuit brought by Exxon Mobil against state attorneys general in New York and Massachusetts “implausible.”,2,0
Young Adults Come to Grips With Coronavirus Health Risks,"It can be a serious disease for younger people, and many millennials have chronic physical and mental health conditions.",4,0
This Olympic Skier Wants to Save the World’s Snow,"Also this week: Scientists win a $1 million prize for mapping peat. (Yes, peat.)",3,0
"Coronavirus May Lurk in Semen, Researchers Report","It was not clear whether the scientists had found infectious virus or inert fragments, so sexual transmission of the virus still seems very unlikely.",4,0
"The Amazon, Siberia, Indonesia: A World of Fire",The growing intensity of wildfires and their spread to new corners of the globe raises fears that climate change is exacerbating the dangers.,4,0
Can an Old Vaccine Stop the New Coronavirus?,"A tuberculosis vaccine invented a century ago is cheap and safe, and seems to bolster the body’s immune system.",5,0
U.S. Climate Report Warns of Damaged Environment and Shrinking Economy ,"Without major action to rein in global warming, the American economy could lose 10 percent of G.D.P. by 2100, according to a report from 13 federal agencies.",5,0
Help! The Coronavirus Struck and I Want a Refund,"In this week’s column, Sarah Firshein investigates the ever-changing refund policies offered by travel companies.",1,1
"A Busy Week for Climate Scientists, and Climate Negotiators","We have a few highlights from two big climate meetings. Also, tips how to reduce your holiday food waste.",1,1
E.P.A. Threatens Legal Action Against Sellers of Fake Coronavirus Cleaners,The federal government is asking online retailers to take unregistered products that falsely claim protection from coronavirus off the market.,2,1
"As Disasters Multiply, Billions in Recovery Funds Go Unspent",The slow pace of government aid has left Americans more vulnerable to Hurricane Dorian and other storms. Climate change is making the problem worse.,2,1
"For Runners, Is 15 Feet the New 6 Feet for Social Distancing?","When we walk briskly or run, air moves differently around us, increasing the space required to maintain a proper social distance.",3,1
Why the Wilder Storms? It’s a ‘Loaded Dice’ Problem,"Global warming is bringing an era of wilder, more dangerous rains. The good news is that we’re getting better at evacuating flood zones. The bad news is everything else. ",3,1
C.D.C. Releases Early Demographic Snapshot of Worst Coronavirus Cases,"The agency’s study of hospitalizations for Covid-19 in March shows heightened numbers for those with underlying conditions, men and African-Americans.",4,1
A Forecast for a Warming World: Learn to Live With Fire,"The Kincade fire is burning more than 10,000 acres in California. Other areas of the country are experiencing drought so understanding fire is becoming ever more important. ",4,1
Smokers and Vapers May Be at Greater Risk for Covid-19,"Tobacco and marijuana products damage lungs, where the virus does its harm. Health officials are urging people to quit, and temporary sales bans are even being discussed.",5,1
Senate Passes a Sweeping Land Conservation Bill,"Years in the works, the measure designates more than a million acres of wilderness for environmental protection and permanently reauthorizes a federal program to pay for conservation.",5,1
Coronavirus Is Very Different From the Spanish Flu of 1918. Here’s How.,"The fear is similar, but the medical reality is not.",1,2
"Australia, in a Victory for Coal, Clears the Way for a Disputed Mine",The final permit from regulators in Queensland came less than a month after a conservative coalition that champions coal won in national elections. ,1,2
"Tiny Love Stories: ‘In Her World, There’s No Pandemic Outside’","Modern Love in miniature, featuring reader-submitted stories of no more than 100 words.",2,2
"Homes Are Being Built the Fastest in Many Flood-Prone Areas, Study Finds","Increased awareness of climate change has not diminished Americans' appetite for building homes in flood zones, new data show. ",2,2
"Returning, and Awakening, to the Beauty of Rural Alabama","Having traveled to Alabama to wait out the coronavirus pandemic, a photographer reassesses his relationship with his childhood and his hometown.",3,2
What Makes a Catastrophic Flood? And Is Climate Change Causing More of Them?,"Floods are complicated. But here are simple answers to questions about flooding, climate change and staying safe when the water rises.",3,2
Wondering About Social Distancing?,Answers to your most common questions about the best practices for stemming the tide of the coronavirus pandemic.,4,2
"Protesting Climate Change, Young People Take to Streets in a Global Strike","Anxious about the future and angry about the failure to curb the crisis, millions joined an urgent call for action against climate change.",4,2
5 Ways to Help Teens Manage Anxiety About the Coronavirus,Adults can help by making sure adolescents don’t overestimate the dangers or underestimate their ability to protect themselves.,5,2
The Oil Industry’s Covert Campaign to Rewrite American Car Emissions Rules,"Energy giants and conservative groups have been aggressively pushing Trump’s rollback of fuel efficiency rules for automobiles, a Times investigation found.",5,2
How Not to Get Sick While Traveling,Should you wear a mask? Does airplane travel pose a greater risk? Do hand sanitizers work? Health professionals offer some tips.,1,3
An Easy New Year’s Resolution: Help the Earth by Consuming Less,"Also this week, the latest on the government shutdown and Democrats’ plans to address climate change.",1,3
Watching the Pandemic Steal Intimate Moments From Teenagers,I’m afraid of holding a tight line of protection and having it snap under the weight of my almost-adult kid’s frustration.,2,3
Americans Are Staying Home More. That’s Saving Energy. ,A new study suggests that tech-fueled lifestyle changes that encourage Americans to travel less are saving energy. But the full picture may be murkier.,2,3
"With Crispr, a Possible Quick Test for the Coronavirus",A pioneer of the gene-editing technology has devised a diagnostic test for the infection that could be as simple as a pregnancy test.,3,3
U.S. Pressure Blocks Declaration on Climate Change at Arctic Talks,"The disagreement left the Arctic Council, which was formed to help protect the region's fragile environment, unable to issue a joint declaration for the first time in its history.",3,3
Doctors and Patients Turn to Telemedicine in the Coronavirus Outbreak,"The use of virtual visits climbs as a way of safely treating patients and containing spread of the infection at hospitals, clinics and medical offices.",4,3
"Faced With Drought, the Pharaohs Tried (and Failed) to Adapt","Ancient Egyptian leaders increased their empire’s grain production and crossbred cattle for resilience in an early effort to ward off climate disaster, a study shows.",4,3
Get Ready for a Vaccine Information War,"Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists.",5,3
A Toxic Tide Is Killing Florida Wildlife ,"Toxic algal blooms are not unusual off the state’s coast, but the current episode is the longest in more than a decade. ",5,3
Google Makes Stadia Gaming Service Free,"The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic.",1,4
E.U. Leaders Fail to Strengthen Climate Target,A proposal to reduce the 28-country bloc's net carbon emissions to zero by 2050 failed when eastern countries that are heavily dependent on coal raised objections. ,1,4
How Coronavirus Shifted the Stakes of Teenage Rebellion,"Living with an invisible outside threat, and no visible outlet, forced my daughter and me to negotiate and reconcile — and fast.",2,4
How One Billionaire Could Keep Three Countries Hooked on Coal for Decades,The story of a mining project in Australia helps to explain why the world keeps burning coal despite the profound risk it poses to the future.,2,4
Exercising Outdoors With a Face Mask,Many of you had questions about running or cycling while wearing a face mask. Here’s what the experts have to say.,3,4
"Bigger, Faster Avalanches, Triggered by Climate Change",A deadly 2016 glacier collapse in Tibet surpassed scientists’ expectations — until it happened again. They worry it’s only the beginning.,3,4
‘I Feel Like I Have Five Jobs’: Moms Navigate the Pandemic,Families are scrambling to balance work and child care in a society where women still do most of the domestic tasks. Will a worldwide emergency change anything?,4,4
"Five Affordable, Effective Alternatives to Disposable Cleaning Products","From single-use cleaning wipes to detachable toilet wands, disposable cleaning products are often more expensive and less effective than the reusable products they replace.",4,4
Will Protests Set Off a Second Viral Wave?,"Across the country, mayors, public health experts and other officials worry that even though many protesters are wearing masks, the risk of new coronavirus cases will increase as thousands gather.",5,4
"Your Recycling Gets Recycled, Right? Maybe, or Maybe Not",Plastics and papers from dozens of American cities and towns are being dumped in landfills after China stopped recycling most “foreign garbage.”,5,4
FOMO Is Over. Give In to the Joy of Letting Go.,"As the days of quarantine drag on, many women are reveling in the relinquishment of high heels, painful waxes and constricting garments.",1,5
Environmentalists and Nuclear Power? It’s Complicated,"This week: Environmentalists and nuclear power make odd bedfellows, the world’s shipping sector charts a course, and a handy guide helps you reduce your own carbon footprint.",1,5
Weighing Risks for My Patients at a Time of Covid-19,"When should the fear of catching a virus, and one that usually causes a mild infection, outweigh the need to address urgent medical issues?",2,5
"Even as Floods Worsen With Climate Change, Fewer People Insure Against Disaster","The Midwest floods have highlighted a gap in disaster readiness: Fewer Americans are buying flood insurance, even as climate change increases their risk.",2,5
"Sexting, Consent and the ‘Quaranteen’",Guidance for parents on talking to teens about consent while on lockdown. Hint: Use French fries as an example.,3,5
How to Break Your Single-Use Plastics Habit,"Ditch your one-and-done straws, spoons, and containers with this kit of affordable, reusable stand-ins.",3,5
A Promising Treatment for Coronavirus Fails,"Researchers had hoped that antiviral drugs would help patients, but a new study from China said that one antiviral drug combination didn’t work.",4,5
"Plastic Bags, or Paper? Here’s What to Consider When You Hit the Grocery Store",Plastic and paper both have downsides. Here are a few broad lessons to keep in mind. ,4,5
"The Birds Are Not on Lockdown, and More People Are Watching Them","Bird-watching has surged in popularity during the pandemic. It’s easy to start, and you can do it anywhere — even from inside, and even in urban spaces.",5,5
What Land Will Be Underwater in 20 Years? Figuring It Out Could Be Lucrative ,Detailed information about climate risks is surprisingly hard to find. A Silicon Valley start-up is trying to change that. ,5,5
