"main_headline","snippet","quintile","set","content","article_number"
"A Possible Weight Loss Strategy: Skip Breakfast Before Exercise","A new study finds that the choice to eat or omit a meal before an early workout could affect our relationship to food for the rest of the day.",1,0,"health",0
"Why Not Get Your Own Wind Turbine? Many Reasons","Also this week: Our reporter catches drones while on assignment, and Ban Ki-moon says America needs to change its tune on climate.",1,0,"climate",1
"How to Break Out of the Children’s Menu Trap","A new book on children’s food offers suggestions on how to encourage healthful eating.",2,0,"health",2
"Court Dismisses Exxon’s Effort to Block Climate Investigation","A federal judge in New York called a lawsuit brought by Exxon Mobil against state attorneys general in New York and Massachusetts “implausible.”",2,0,"climate",3
"The Downside of Having a Sweet Tooth","Regular consumption of sugary drinks heightens the risk not only of tooth decay, obesity, fatty liver disease and Type 2 diabetes, but also of heart disease and premature death.",3,0,"health",4
"This Olympic Skier Wants to Save the World’s Snow","Also this week: Scientists win a $1 million prize for mapping peat. (Yes, peat.)",3,0,"climate",5
"Why Exercise Alone May Not Be the Key to Weight Loss","Mice given free access to running wheels moved less after exercising, which may have implications for diets and weight loss in people.",4,0,"health",6
"The Amazon, Siberia, Indonesia: A World of Fire","The growing intensity of wildfires and their spread to new corners of the globe raises fears that climate change is exacerbating the dangers.",4,0,"climate",7
"The Key to Weight Loss Is Diet Quality, Not Quantity, a New Study Finds","People who cut back on added sugar, refined grains and processed foods lost weight without worrying about calories or portion size.",5,0,"health",8
"U.S. Climate Report Warns of Damaged Environment and Shrinking Economy ","Without major action to rein in global warming, the American economy could lose 10 percent of G.D.P. by 2100, according to a report from 13 federal agencies.",5,0,"climate",9
"Supplements for Weight Loss, Sexual Function and Muscle Building May Be Deadly","Side effects from dietary supplements can be serious, even fatal, a study of those under 25 found.",1,1,"health",10
"A Busy Week for Climate Scientists, and Climate Negotiators","We have a few highlights from two big climate meetings. Also, tips how to reduce your holiday food waste.",1,1,"climate",11
"Child’s Play Is Good for All of Us","If all sedentary children started exercising every day, the United States could save $120 billion a year, a study found....",2,1,"health",12
"As Disasters Multiply, Billions in Recovery Funds Go Unspent","The slow pace of government aid has left Americans more vulnerable to Hurricane Dorian and other storms. Climate change is making the problem worse.",2,1,"climate",13
"Walk, Stretch or Dance? Dancing May Be Best for the Brain","Moving and socializing appears to perk up the aging brain....",3,1,"health",14
"Why the Wilder Storms? It’s a ‘Loaded Dice’ Problem","Global warming is bringing an era of wilder, more dangerous rains. The good news is that we’re getting better at evacuating flood zones. The bad news is everything else. ",3,1,"climate",15
"Being Fit May Be as Good for You as Not Smoking","A new study found a strong correlation between endurance and living a long life.",4,1,"health",16
"A Forecast for a Warming World: Learn to Live With Fire","The Kincade fire is burning more than 10,000 acres in California. Other areas of the country are experiencing drought so understanding fire is becoming ever more important. ",4,1,"climate",17
"How Exercise Can Keep Aging Muscles and Immune Systems ‘Young’","Older cyclists are not like most of the rest of us. They are healthier. They are, biologically, younger.",5,1,"health",18
"Senate Passes a Sweeping Land Conservation Bill","Years in the works, the measure designates more than a million acres of wilderness for environmental protection and permanently reauthorizes a federal program to pay for conservation.",5,1,"climate",19
"Farmer’s Market Shopping With the Chef Tom Colicchio","A top chef’s advice: To avoid wasting food, just buy the produce you’ll cook for tonight’s dinner....",1,2,"health",20
"Australia, in a Victory for Coal, Clears the Way for a Disputed Mine","The final permit from regulators in Queensland came less than a month after a conservative coalition that champions coal won in national elections. ",1,2,"climate",21
"Flavonoids in Plants May Help Protect Against Major Killers","Those who ate the most flavonoid-rich foods had a lower risk for cancer and cardiovascular death.",2,2,"health",22
"Homes Are Being Built the Fastest in Many Flood-Prone Areas, Study Finds","Increased awareness of climate change has not diminished Americans' appetite for building homes in flood zones, new data show. ",2,2,"climate",23
"A Cancer Researcher Takes Cancer Personally","Dr. C. Anthony Blau, who has multiple myeloma, started a company to crowdsource an individualized approach to his disease.",3,2,"health",24
"What Makes a Catastrophic Flood? And Is Climate Change Causing More of Them?","Floods are complicated. But here are simple answers to questions about flooding, climate change and staying safe when the water rises.",3,2,"climate",25
"When a Vegan Gets Gout","Black beans, spinach, asparagus, raisins, chickpeas and hummus, all heart-healthy stuff I’d been eating for years, had to go.",4,2,"health",26
"Protesting Climate Change, Young People Take to Streets in a Global Strike","Anxious about the future and angry about the failure to curb the crisis, millions joined an urgent call for action against climate change.",4,2,"climate",27
"Is Eating Deli Meats Really That Bad for You?"," Even small amounts of processed meat increase the risk of colorectal cancer.",5,2,"health",28
"The Oil Industry’s Covert Campaign to Rewrite American Car Emissions Rules","Energy giants and conservative groups have been aggressively pushing Trump’s rollback of fuel efficiency rules for automobiles, a Times investigation found.",5,2,"climate",29
"Why Children (and Pregnant Women) May Want to Eat More Fish","There is some evidence that eating fish may make children smarter.",1,3,"health",30
"An Easy New Year’s Resolution: Help the Earth by Consuming Less","Also this week, the latest on the government shutdown and Democrats’ plans to address climate change.",1,3,"climate",31
"Sugary Drinks Tied to Shorter Life Span","“The optimal intake of these drinks is zero,” said one expert. “They have no health benefits.”",2,3,"health",32
"Americans Are Staying Home More. That’s Saving Energy. ","A new study suggests that tech-fueled lifestyle changes that encourage Americans to travel less are saving energy. But the full picture may be murkier.",2,3,"climate",33
"Fitness in Midlife May Help Fend Off Dementia","In a Swedish study, middle-aged women with a high level of cardiovascular fitness were less likely to develop dementia.",3,3,"health",34
"U.S. Pressure Blocks Declaration on Climate Change at Arctic Talks","The disagreement left the Arctic Council, which was formed to help protect the region's fragile environment, unable to issue a joint declaration for the first time in its history.",3,3,"climate",35
"Faster. Slower. How We Walk Depends on Who We Walk With, and Where We Live.","Men tend to walk differently with other men than with women. And Americans walk faster with children, whereas Ugandans move more leisurely.",4,3,"health",36
"Faced With Drought, the Pharaohs Tried (and Failed) to Adapt","Ancient Egyptian leaders increased their empire’s grain production and crossbred cattle for resilience in an early effort to ward off climate disaster, a study shows.",4,3,"climate",37
"Out of the Doghouse, Into the Bed","Researchers found that with a dog in the bedroom, both the humans and the dogs slept reasonably well.",5,3,"health",38
"A Toxic Tide Is Killing Florida Wildlife ","Toxic algal blooms are not unusual off the state’s coast, but the current episode is the longest in more than a decade. ",5,3,"climate",39
"Antioxidants Don’t Ease Muscle Soreness After Exercise","Supplements like cherry and pomegranate juice, vitamins C and E, and black tea extract did little to alleviate post-exercise muscle aches.",1,4,"health",40
